,AUTH_Meditations 11,AUTH_Meditations 4,AUTH_Meditations 1,AUTH_Meditations 2,AUTH_Meditations 6,AUTH_Meditations 9,AUTH_Meditations 5,AUTH_Meditations 12,AUTH_Meditations 10,AUTH_Meditations 7,AUTH_Meditations 8,AUTH_Meditations 3,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_Meditations 11,1.0,0.279076697167068,-0.4344382350828741,0.07722928645219375,-0.3030717898420639,0.2529589578454349,0.21861854162683547,-0.017261597408038405,0.07563713797633992,0.019485710007223045,0.273734852332914,-0.07982246495407823,-0.2965477320029421,-0.28874159452952564,-0.2657151110339171,-0.5520432354463147,-0.35615898055776396,-0.7916238199858648,-0.2494364290708556,-0.6991129366809465,-0.8254448501933155,-0.4253650966766174,-0.24638424642792298,-0.40226580147594304,-0.8709986597157614
AUTH_Meditations 4,0.279076697167068,1.0,-0.6422018439598544,-0.5228104673411074,0.21122541764125805,0.6462194750600839,0.6346570478180842,-0.036838944401109054,0.6116781738770122,0.45836964427823546,0.6561817035558155,-0.6281216147798215,-0.2138364442049691,-0.39093079429744526,-0.2631671581660989,-0.5078256741189614,-0.4492290936318851,-0.8504437750900444,-0.2697942822283882,-0.691049156536566,-0.8749721754404004,-0.6530743172925655,-0.27814885482014906,-0.4891101450475687,-0.797634527242083
AUTH_Meditations 1,-0.4344382350828741,-0.6422018439598544,1.0,0.0668474424259803,-0.2652752381697206,-0.6243657348785855,-0.4546368927463976,-0.283665904218351,-0.5484865988787102,-0.6101579882499102,-0.6266067898059625,0.4903022372051252,-0.2771844282563452,-0.6399877927539529,-0.27872717806848246,-0.1946591541945744,-0.15339205667264935,0.16472035977950186,0.007671838107693884,0.13814363898762072,-0.018318842353347548,-0.05929329271996017,-0.029721582140955535,0.15335993567662712,0.2510878677539861
AUTH_Meditations 2,0.07722928645219375,-0.5228104673411074,0.0668474424259803,1.0,-0.5054812965548772,-0.4541708721452645,-0.19545929580461568,0.21461081385472758,-0.27455153588706116,-0.6659225061430772,-0.6298054060057813,0.5443337422265476,-0.5540882488925686,-0.5160939340839453,-0.5918892801871768,-0.7983230142759197,-0.07044566637280335,-0.6492287149317478,0.03669669607840124,-0.7427174211840685,-0.706612624931993,-0.5658727359661749,-0.09911716684583752,-0.2171868191320613,-0.7645093657010463
AUTH_Meditations 6,-0.3030717898420639,0.21122541764125805,-0.2652752381697206,-0.5054812965548772,1.0,-0.03997171080849094,-0.354813770019469,0.1934991913162454,-0.16372895733020565,0.7370389604769131,0.5273945347863556,-0.30644189965423674,-0.23495311821994158,-0.3007722122635363,-0.16527586202605032,-0.14938103133945085,-0.24986567554709058,-0.7062718597783272,-0.41517701780943506,-0.21073723224180846,-0.6192499873935774,-0.24947663186441468,-0.6782102534424095,-0.5922115435994928,-0.35503140467751276
AUTH_Meditations 9,0.2529589578454349,0.6462194750600839,-0.6243657348785855,-0.4541708721452645,-0.03997171080849094,1.0,0.8586846977577187,-0.17771121573651188,0.8763581327471822,0.5403364676179299,0.6521270583938528,-0.6884521170963527,-0.18882900346291806,-0.2937684226310931,-0.1783365639118597,-0.4940128222219234,-0.5148159501813803,-0.7439277391712829,-0.3198232422766622,-0.7379631991084653,-0.8507878743594244,-0.6940484279008168,-0.30987782384068063,-0.43506834846795317,-0.7993400103391308
AUTH_Meditations 5,0.21861854162683547,0.6346570478180842,-0.4546368927463976,-0.19545929580461568,-0.354813770019469,0.8586846977577187,1.0,-0.37014380110211637,0.9209633506439269,0.10917238369089044,0.3405775042248304,-0.47241209815580937,-0.129609198417272,-0.2829039221286489,-0.16404654156649895,-0.5051744893050424,-0.5402315366426074,-0.6072388483896919,-0.1615262823916403,-0.8453214852349166,-0.7587569597870333,-0.7517664178373306,-0.06189665702814914,-0.22970128558161915,-0.7870171567775837
AUTH_Meditations 12,-0.017261597408038405,-0.036838944401109054,-0.283665904218351,0.21461081385472758,0.1934991913162454,-0.17771121573651188,-0.37014380110211637,1.0,-0.32489060757429045,0.15446213316886792,0.20958891632429583,-0.30908898497380544,-0.25323068599126164,-0.18119790820214185,-0.2559240659981739,-0.3676426713434253,0.05130361027023824,-0.8282064775134804,-0.4281686317908907,-0.2104744733022101,-0.6054976789515893,-0.24969181098643586,-0.5736693538269655,-0.8121233805249872,-0.5245081347760038
AUTH_Meditations 10,0.07563713797633992,0.6116781738770122,-0.5484865988787102,-0.27455153588706116,-0.16372895733020565,0.8763581327471822,0.9209633506439269,-0.32489060757429045,1.0,0.32749935124392726,0.34706012879559933,-0.4377298414056161,-0.19566025414481933,-0.3299989888749175,-0.20385757690215583,-0.5177859472813638,-0.4763799729072239,-0.6899009949210034,-0.2752745784540129,-0.8048741761798519,-0.8059214623873963,-0.7604363161408587,-0.2344505854175348,-0.37231411679712134,-0.7562720298001118
AUTH_Meditations 7,0.019485710007223045,0.45836964427823546,-0.6101579882499102,-0.6659225061430772,0.7370389604769131,0.5403364676179299,0.10917238369089044,0.15446213316886792,0.32749935124392726,1.0,0.7561186902326015,-0.5706030680938321,-0.23399905208137436,-0.2883809019474875,-0.181930269311161,-0.385868114565462,-0.3980771297285547,-0.8156820736805156,-0.4399571031570361,-0.518070943517676,-0.8491446258835753,-0.5408152769447162,-0.5467515358249034,-0.6082633478044791,-0.6811175368298945
